"","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","ethnicity","medical_conditions","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","depth_from_pia_um","ephys_session_id","transcriptomics_sample_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","subclass"
"2434","mIVSCC-MET",753958280,"Sst-IRES-Cre;Ai14-412856.05.02.02","right","VISp6a",412856,"Sst-IRES-Cre;Ai14-412856","M","P58",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,753958004,"SM.GE8XQ_S185_E1.50","RSC-177","CS180626100030","Sst Chodl","Sst"
"2435","mIVSCC-MET",753963699,"Sst-IRES-Cre;Ai14-412856.04.02.04","right","VISp5",412856,"Sst-IRES-Cre;Ai14-412856","M","P58",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,753963612,"SM.GE8XF_S036_E1.50","RSC-178","CS180626100043","Sst Hpse Cbln4","Sst"
"2436","mIVSCC-MET",753963792,"Sst-IRES-Cre;Ai14-412856.02.02.04","right","VISli2/3",412856,"Sst-IRES-Cre;Ai14-412856","M","P58",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,753963730,"SM.GE8XF_S049_E1.50","RSC-178","CS180626100030","Sst Chodl","Sst"
"2437","mIVSCC-MET",753979676,"Sst-IRES-Cre;Ai14-412856.02.02.05","right","VISl2/3",412856,"Sst-IRES-Cre;Ai14-412856","M","P58",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,753979638,"SM.GE8XF_S050_E1.50","RSC-178","CS180626100043","Sst Hpse Cbln4","Sst"
"2438","mIVSCC-MET",753985861,"Sst-IRES-Cre;Ai14-412856.02.02.06","right","VISp6a",412856,"Sst-IRES-Cre;Ai14-412856","M","P58",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,753985846,"SM.GE8XF_S051_E1.50","RSC-178","CS180626100044","Sst Crhr2 Efemp1","Sst"
"2439","mIVSCC-MET",754436948,"Sst-IRES-Cre;Ai167-415614.05.02.02","right","VISpm5",415614,"Sst-IRES-Cre;Ai167-415614","M","P45",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754436507,"SM.GE8XF_S065_E1.50","RSC-178","CS180626100036","Sst Nr2f2 Necab1","Sst"
"2440","mIVSCC-MET",754447289,"Sst-IRES-Cre;Ai167-415614.02.01.01","left","VISp5",415614,"Sst-IRES-Cre;Ai167-415614","M","P45",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754447182,"SM.GE8XF_S068_E1.50","RSC-178","CS180626100046","Sst Esm1","Sst"
"2441","mIVSCC-MET",754477222,"Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-413064.04.02.01","right","VISp2/3",413064,"Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-413064","M","P60",NA,NA,"Vip-IRES-Cre/wt;Npy-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,NA,754477098,"SM.GE8XF_S055_E1.50","RSC-178","CS180626100025","Vip Chat Htr1f","Vip"
"2442","mIVSCC-MET",754487624,"Sst-IRES-Cre;Ai167-415614.06.02.02","right","VISp5",415614,"Sst-IRES-Cre;Ai167-415614","M","P45",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754487490,"SM.GE8XF_S061_E1.50","RSC-178","CS180626100059","Pvalb Tpbg","Pvalb"
"2443","mIVSCC-MET",754497427,"Pvalb-IRES-Cre;Ai14-413266.04.02.01","right","VISp2/3",413266,"Pvalb-IRES-Cre;Ai14-413266","M","P59",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754497386,"SM.GE8XF_S056_E1.50","RSC-178","CS180626100059","Pvalb Tpbg","Pvalb"
"2444","mIVSCC-MET",754502546,"Pvalb-IRES-Cre;Ai14-413266.04.01.04","left","VISp2/3",413266,"Pvalb-IRES-Cre;Ai14-413266","M","P59",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754502530,"SM.GE8XF_S053_E1.50","RSC-178","CS180626100059","Pvalb Tpbg","Pvalb"
