"","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","ethnicity","medical_conditions","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","depth_from_pia_um","ephys_session_id","transcriptomics_sample_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","subclass"
"1","mIVSCC-MET",601506507,"Vip-IRES-Cre;Ai14-331294.04.01.01","left","VISpm4",331294,"Vip-IRES-Cre;Ai14-331294","M","P55",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","sparsely spiny",NA,"full",0.361014513523001,NA,601506492,"PS0810_E1.50_S88","BT035","CS180626100018","Vip Gpc3 Slc18a3","Vip"
"2","mIVSCC-MET",601790961,"Sst-IRES-Cre;Ai14-331663.04.01.01","left","VISpm5",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.621829351967728,NA,601790945,"PS0817_E1.50_S19","BT036","CS180626100041","Sst Tac2 Myh4","Sst"
"3","mIVSCC-MET",601803754,"Sst-IRES-Cre;Ai14-331663.04.02.02","right","VISp2/3",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","sparsely spiny",NA,"full",0.164239963248684,NA,601803733,"PS0817_E1.50_S25","BT036","CS180626100035","Sst Calb2 Pdlim5","Sst"
"4","mIVSCC-MET",601808698,"Sst-IRES-Cre;Ai14-331663.04.02.03","right","VISp5",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.483030289156805,NA,601808619,"PS0817_E1.50_S26","BT036","CS180626100043","Sst Hpse Cbln4","Sst"
"5","mIVSCC-MET",601810307,"Sst-IRES-Cre;Ai14-331663.04.02.04","right","VISp2/3",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.295656295036952,NA,601810292,"PS0817_E1.50_S27","BT036","CS180626100034","Sst Calb2 Necab1","Sst"
"6","mIVSCC-MET",601811091,"Sst-IRES-Cre;Ai14-331663.03.01.01","left","VISp6a",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.766594576134962,NA,601811076,"PS0817_E1.50_S28","BT036","CS180626100046","Sst Esm1","Sst"
"7","mIVSCC-MET",602231708,"Sst-IRES-Cre;Ai14-331660.06.02.01","right","VISp5",331660,"Sst-IRES-Cre;Ai14-331660","M","P59",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.589005050716384,NA,602231628,"PS0817_E1.50_S46","BT036","CS180626100035","Sst Calb2 Pdlim5","Sst"
"8","mIVSCC-MET",602535278,"Sst-IRES-Cre;Ai14-331657.04.02.01","right","VISp2/3",331657,"Sst-IRES-Cre;Ai14-331657","M","P60",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.397545508012723,NA,602535253,"PS0817_E1.50_S52","BT036","CS180626100035","Sst Calb2 Pdlim5","Sst"
"9","mIVSCC-MET",604626221,"Vip-IRES-Cre;Ai14-336703.04.02.01","right","VISp4",336703,"Vip-IRES-Cre;Ai14-336703","M","P51",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.459114590371144,NA,604626206,"PS0830_E1.50_S17","BT038","CS180626100018","Vip Gpc3 Slc18a3","Vip"
"10","mIVSCC-MET",604646725,"Vip-IRES-Cre;Ai14-336703.04.02.03","right","VISp2/3",336703,"Vip-IRES-Cre;Ai14-336703","M","P51",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.304442899765556,NA,604646572,"PS0830_E1.50_S19","BT038","CS180626100026","Vip Pygm C1ql1","Vip"
"11","mIVSCC-MET",605060256,"Vip-IRES-Cre;Ai14-336139.04.01.04","left","VISal4",336139,"Vip-IRES-Cre;Ai14-336139","M","P54",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.416261742802756,NA,605059999,"PS0830_E1.50_S24","BT038","CS180626100020","Vip Lmo1 Myl1","Vip"
"12","mIVSCC-MET",605160536,"Vip-IRES-Cre;Ai14-336139.05.02.02","right","VISp2/3",336139,"Vip-IRES-Cre;Ai14-336139","M","P54",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.22214742213529,NA,605160446,"PS0830_E1.50_S26","BT038","CS180626100028","Vip Crispld2 Kcne4","Vip"
"13","mIVSCC-MET",606098116,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417.04.02.02","right","VISp2/3",337417,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417","M","P55",NA,NA,"Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.281891345108085,NA,606098055,"PS0830_E1.50_S70","BT038","CS180626100059","Pvalb Tpbg","Pvalb"
"14","mIVSCC-MET",606271263,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.01","left","VISp2/3",337416,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416","M","P56",NA,NA,"Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.179449890059475,NA,606271245,"PS0830_E1.50_S83","BT038","CS180626100060","Pvalb Vipr2","Pvalb"
"15","mIVSCC-MET",606308411,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.03","left","VISam2/3",337416,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416","M","P56",NA,NA,"Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.171680016575818,NA,606308251,"PS0830_E1.50_S85","BT038","CS180626100060","Pvalb Vipr2","Pvalb"
"16","mIVSCC-MET",611497391,"Vip-IRES-Cre;Ai14-342915.04.02.01","right","VISp2/3",342915,"Vip-IRES-Cre;Ai14-342915","M","P47",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.225690512105545,NA,611497338,"PS0921_E1.50_S06","BT040","CS180626100022","Vip Rspo4 Rxfp1 Chat","Vip"
"17","mIVSCC-MET",612271508,"Chat-IRES-Cre-neo;Ai14-341889.05.02.02","right","VISp2/3",341889,"Chat-IRES-Cre-neo;Ai14-341889","F","P54",NA,NA,"Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.255892218078165,NA,612271479,"PS0921_E1.50_S12","BT040","CS180626100022","Vip Rspo4 Rxfp1 Chat","Vip"
"18","mIVSCC-MET",612893105,"Chat-IRES-Cre-neo;Ai14-341890.04.02.02","right","VISp2/3",341890,"Chat-IRES-Cre-neo;Ai14-341890","F","P55",NA,NA,"Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.143796377209451,NA,612893090,"PS0921_E1.50_S26","BT040","CS180626100022","Vip Rspo4 Rxfp1 Chat","Vip"
"19","mIVSCC-MET",613432876,"Chat-IRES-Cre-neo;Ai14-341891.04.02.01","right","VISp2/3",341891,"Chat-IRES-Cre-neo;Ai14-341891","F","P56",NA,NA,"Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.171291174746034,NA,613432846,"PS0921_E1.50_S33","BT040","CS180626100022","Vip Rspo4 Rxfp1 Chat","Vip"
"20","mIVSCC-MET",614728680,"Pvalb-IRES-Cre;Ai14-344090.04.01.01","left","VISp5",344090,"Pvalb-IRES-Cre;Ai14-344090","F","P51",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.604392273663461,NA,614728579,"PS0921_E1.50_S34","BT040","CS180626100058","Pvalb Reln Itm2a","Pvalb"
"21","mIVSCC-MET",623326230,"Sst-IRES-Cre;Ai14-346778.03.02.01","right","VISp2/3",346778,"Sst-IRES-Cre;Ai14-346778","M","P49",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.292879196389158,NA,623326214,"SM.GE62S_S105_E1.50","RSC-122","CS180626100033","Sst Tac1 Tacr3","Sst"
"22","mIVSCC-MET",623326953,"Sst-IRES-Cre;Ai14-346778.03.02.02","right","VISp2/3",346778,"Sst-IRES-Cre;Ai14-346778","M","P49",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,623326928,"SM.GE62S_S106_E1.50","RSC-122","","",""
"23","mIVSCC-MET",623415197,"Sst-IRES-Cre;Ai14-346780.04.02.01","right","VISp2/3",346780,"Sst-IRES-Cre;Ai14-346780","M","P50",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.190213546017605,NA,623415006,"SM.GE62S_S110_E1.50","RSC-122","CS180626100059","Pvalb Tpbg","Pvalb"
"24","mIVSCC-MET",623434306,"Sst-IRES-Cre;Ai14-346780.04.02.02","right","VISp2/3",346780,"Sst-IRES-Cre;Ai14-346780","M","P50",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.231416533107606,NA,623434287,"SM.GE62S_S111_E1.50","RSC-122","CS180626100032","Sst Tac1 Htr1d","Sst"
"25","mIVSCC-MET",623813235,"Sst-IRES-Cre;Ai14-346782.05.02.01","right","VISp5",346782,"Sst-IRES-Cre;Ai14-346782","F","P51",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,623813080,"SM.GE62S_S113_E1.50","RSC-122","CS180626100042","Sst Hpse Sema3c","Sst"
"26","mIVSCC-MET",623891125,"Sst-IRES-Cre;Ai14-346782.04.02.01","right","VISp2/3",346782,"Sst-IRES-Cre;Ai14-346782","F","P51",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,623891110,"SM.GE62S_S116_E1.50","RSC-122","CS180626100035","Sst Calb2 Pdlim5","Sst"
"27","mIVSCC-MET",623945953,"Sst-IRES-Cre;Ai14-346782.03.01.01","left","VISp2/3",346782,"Sst-IRES-Cre;Ai14-346782","F","P51",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,623945666,"SM.GE62S_S118_E1.50","RSC-122","CS180626100035","Sst Calb2 Pdlim5","Sst"
"28","mIVSCC-MET",623989470,"Sst-IRES-Cre;Ai14-346782.03.01.02","left","VISp6a",346782,"Sst-IRES-Cre;Ai14-346782","F","P51",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,623989197,"SM.GE62S_S119_E1.50","RSC-122","CS180626100049","Sst Rxfp1 Prdm8","Sst"
"29","mIVSCC-MET",626069976,"Sst-IRES-Cre;Ai14-346783.05.02.01","right","VISpm4",346783,"Sst-IRES-Cre;Ai14-346783","F","P52",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,626069887,"SM.GE62S_S123_E1.50","RSC-122","CS180626100035","Sst Calb2 Pdlim5","Sst"
"30","mIVSCC-MET",626082009,"Sst-IRES-Cre;Ai14-346783.05.02.02","right","VISam5",346783,"Sst-IRES-Cre;Ai14-346783","F","P52",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,626081013,"SM.GE62S_S124_E1.50","RSC-122","CS180626100049","Sst Rxfp1 Prdm8","Sst"
"31","mIVSCC-MET",626103966,"Sst-IRES-Cre;Ai14-346783.05.02.03","right","VISam4",346783,"Sst-IRES-Cre;Ai14-346783","F","P52",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,626103744,"SM.GE62S_S125_E1.50","RSC-122","CS180626100035","Sst Calb2 Pdlim5","Sst"
"32","mIVSCC-MET",626153003,"Sst-IRES-Cre;Ai14-346783.03.02.01","right","VISp5",346783,"Sst-IRES-Cre;Ai14-346783","F","P52",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.684141822201589,NA,626152964,"SM.GE62S_S126_E1.50","RSC-122","CS180626100043","Sst Hpse Cbln4","Sst"
"33","mIVSCC-MET",627867607,"Sst-IRES-Cre;Ai14-346784.04.02.01","right","VISp6a",346784,"Sst-IRES-Cre;Ai14-346784","F","P53",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,627867536,"SM.GE63V_S103_E1.50","RSC-123","CS180626100037","Sst Myh8 Etv1 ","Sst"
"34","mIVSCC-MET",627876797,"Sst-IRES-Cre;Ai14-346784.03.01.01","left","VISp2/3",346784,"Sst-IRES-Cre;Ai14-346784","F","P53",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,627876610,"SM.GE63V_S097_E1.50","RSC-123","CS180626100035","Sst Calb2 Pdlim5","Sst"
"35","mIVSCC-MET",627881581,"Sst-IRES-Cre;Ai14-346784.03.01.02","left","VISp4",346784,"Sst-IRES-Cre;Ai14-346784","F","P53",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.416706236815262,NA,627881560,"SM.GE63V_S098_E1.50","RSC-123","CS180626100043","Sst Hpse Cbln4","Sst"
"36","mIVSCC-MET",627883518,"Sst-IRES-Cre;Ai14-346784.03.01.03","left","VISp5",346784,"Sst-IRES-Cre;Ai14-346784","F","P53",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,627883502,"SM.GE63V_S099_E1.50","RSC-123","CS180626100042","Sst Hpse Sema3c","Sst"
"37","mIVSCC-MET",636854912,"Sst-IRES-Cre;Ai14-346909.04.02.01","right","VISp5",346909,"Sst-IRES-Cre;Ai14-346909","M","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,636854897,"SM.GE63V_S131_E1.50","RSC-123","CS180626100043","Sst Hpse Cbln4","Sst"
"38","mIVSCC-MET",636856236,"Sst-IRES-Cre;Ai14-346909.04.02.02","right","VISpm5",346909,"Sst-IRES-Cre;Ai14-346909","M","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,636856220,"SM.GE63V_S132_E1.50","RSC-123","CS180626100043","Sst Hpse Cbln4","Sst"
"39","mIVSCC-MET",636946168,"Chrna2-Cre_OE25;Ai14-347064.04.02.01","right","VISp6a",347064,"Chrna2-Cre_OE25;Ai14-347064","F","P55",NA,NA,"Chrna2-Cre_OE25/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,636946141,"SM.GE63V_S146_E1.50","RSC-123","CS180626100049","Sst Rxfp1 Prdm8","Sst"
"40","mIVSCC-MET",637321656,"Vip-IRES-Cre;Ai14-348727.03.02.01","right","VISp2/3",348727,"Vip-IRES-Cre;Ai14-348727","M","P48",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637321403,"SM.GE63V_S161_E1.50","RSC-123","CS180626100020","Vip Lmo1 Myl1","Vip"
"41","mIVSCC-MET",637327988,"Vip-IRES-Cre;Ai14-348727.04.01.01","left","VISp2/3",348727,"Vip-IRES-Cre;Ai14-348727","M","P48",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637327686,"SM.GE63V_S153_E1.50","RSC-123","CS180626100028","Vip Crispld2 Kcne4","Vip"
"42","mIVSCC-MET",637329085,"Vip-IRES-Cre;Ai14-348727.03.02.02","right","VISp2/3",348727,"Vip-IRES-Cre;Ai14-348727","M","P48",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637328829,"SM.GE63V_S162_E1.50","RSC-123","CS180626100029","Vip Col15a1 Pde1a","Vip"
"43","mIVSCC-MET",637362685,"Oxtr-T2A-Cre;Ai14-347157.04.02.01","right","VISp2/3",347157,"Oxtr-T2A-Cre;Ai14-347157","F","P56",NA,NA,"Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637362669,"SM.GE63V_S163_E1.50","RSC-123","CS180626100035","Sst Calb2 Pdlim5","Sst"
"44","mIVSCC-MET",637365495,"Vip-IRES-Cre;Ai14-348727.04.01.03","left","VISp2/3",348727,"Vip-IRES-Cre;Ai14-348727","M","P48",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637365476,"SM.GE63V_S155_E1.50","RSC-123","CS180626100026","Vip Pygm C1ql1","Vip"
"45","mIVSCC-MET",637379909,"Oxtr-T2A-Cre;Ai14-347157.04.01.01","left","VISpm5",347157,"Oxtr-T2A-Cre;Ai14-347157","F","P56",NA,NA,"Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637379889,"SM.GE63V_S156_E1.50","RSC-123","CS180626100043","Sst Hpse Cbln4","Sst"
"46","mIVSCC-MET",637381329,"Oxtr-T2A-Cre;Ai14-347157.04.01.03","left","VISp1",347157,"Oxtr-T2A-Cre;Ai14-347157","F","P56",NA,NA,"Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637381314,"SM.GE63V_S158_E1.50","RSC-123","","",""
"47","mIVSCC-MET",637823753,"Htr3a-Cre_NO152;Ai14-349020.03.02.01","right","VISp4",349020,"Htr3a-Cre_NO152;Ai14-349020","M","P47",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637823738,"SM.GE63V_S190_E1.50","RSC-123","CS180626100021","Vip Ptprt Pkp2","Vip"
"48","mIVSCC-MET",637824915,"Htr3a-Cre_NO152;Ai14-349020.03.02.02","right","VISp4",349020,"Htr3a-Cre_NO152;Ai14-349020","M","P47",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637824890,"SM.GE63V_S191_E1.50","RSC-123","CS180626100006","Lamp5 Lsp1","Lamp5"
"49","mIVSCC-MET",637824948,"Htr3a-Cre_NO152;Ai14-349020.05.01.01","left","VISp2/3",349020,"Htr3a-Cre_NO152;Ai14-349020","M","P47",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637824933,"SM.GE63V_S181_E1.50","RSC-123","CS180626100025","Vip Chat Htr1f","Vip"
"50","mIVSCC-MET",637833144,"Htr3a-Cre_NO152;Ai14-349020.03.02.03","right","VISp1",349020,"Htr3a-Cre_NO152;Ai14-349020","M","P47",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637833126,"SM.GE63O_S001_E1.50","RSC-124","CS180626100006","Lamp5 Lsp1","Lamp5"
"51","mIVSCC-MET",637839160,"Htr3a-Cre_NO152;Ai14-349020.03.02.04","right","VISp5",349020,"Htr3a-Cre_NO152;Ai14-349020","M","P47",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637838825,"SM.GE63O_S002_E1.50","RSC-124","CS180626100011","Sncg Vip Itih5","Sncg"
"52","mIVSCC-MET",637846989,"Htr3a-Cre_NO152;Ai14-349020.05.01.02","left","VISp2/3",349020,"Htr3a-Cre_NO152;Ai14-349020","M","P47",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.136937559650357,NA,637846912,"SM.GE63V_S182_E1.50","RSC-123","CS180626100006","Lamp5 Lsp1","Lamp5"
"53","mIVSCC-MET",637853303,"Htr3a-Cre_NO152;Ai14-349020.05.01.03","left","VISp2/3",349020,"Htr3a-Cre_NO152;Ai14-349020","M","P47",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637853288,"SM.GE63V_S183_E1.50","RSC-123","CS180626100028","Vip Crispld2 Kcne4","Vip"
"54","mIVSCC-MET",637866154,"Htr3a-Cre_NO152;Ai14-349020.06.02.01","right","VISp5",349020,"Htr3a-Cre_NO152;Ai14-349020","M","P47",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637866126,"SM.GE63V_S192_E1.50","RSC-123","CS180626100006","Lamp5 Lsp1","Lamp5"
"55","mIVSCC-MET",637879731,"Htr3a-Cre_NO152;Ai14-347843.05.01.01","left","VISp2/3",347843,"Htr3a-Cre_NO152;Ai14-347843","M","P53",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637879633,"SM.GE63V_S184_E1.50","RSC-123","CS180626100023","Vip Lect1 Oxtr","Vip"
"56","mIVSCC-MET",637886938,"Htr3a-Cre_NO152;Ai14-347843.05.01.02","left","VISp2/3",347843,"Htr3a-Cre_NO152;Ai14-347843","M","P53",NA,NA,"Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637886883,"SM.GE63V_S185_E1.50","RSC-123","CS180626100014","Vip Igfbp6 Car10","Vip"
"57","mIVSCC-MET",637919747,"Pvalb-IRES-Cre;Ai14-347579.04.02.02","right","VISp4",347579,"Pvalb-IRES-Cre;Ai14-347579","F","P54",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,637919731,"SM.GE63O_S004_E1.50","RSC-124","CS180626100058","Pvalb Reln Itm2a","Pvalb"
"58","mIVSCC-MET",638176297,"Vip-IRES-Cre;Ai14-348725.04.01.02","left","VISp5",348725,"Vip-IRES-Cre;Ai14-348725","M","P50",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638176282,"SM.GE63O_S006_E1.50","RSC-124","CS180626100016","Vip Igfbp4 Mab21l1","Vip"
"59","mIVSCC-MET",638205354,"Oxtr-T2A-Cre;Ai14-347159.04.01.01","left","VISpm1",347159,"Oxtr-T2A-Cre;Ai14-347159","F","P58",NA,NA,"Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638205339,"SM.GE63O_S008_E1.50","RSC-124","CS180626100006","Lamp5 Lsp1","Lamp5"
"60","mIVSCC-MET",638212024,"Oxtr-T2A-Cre;Ai14-347159.04.01.02","left","VISp2/3",347159,"Oxtr-T2A-Cre;Ai14-347159","F","P58",NA,NA,"Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.114190204619789,NA,638212009,"SM.GE63O_S009_E1.50","RSC-124","CS180626100004","Lamp5 Ntn1 Npy2r","Lamp5"
"61","mIVSCC-MET",638225388,"Oxtr-T2A-Cre;Ai14-347159.04.01.03","left","VISp2/3",347159,"Oxtr-T2A-Cre;Ai14-347159","F","P58",NA,NA,"Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638225093,"SM.GE63O_S010_E1.50","RSC-124","CS180626100006","Lamp5 Lsp1","Lamp5"
"62","mIVSCC-MET",638246905,"Rorb-IRES2-Cre;Ai14-349007.06.01.02","left","VISal2/3",349007,"Rorb-IRES2-Cre;Ai14-349007","M","P48",NA,NA,"Rorb-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638246857,"SM.GE63O_S026_E1.50","RSC-124","CS180626100006","Lamp5 Lsp1","Lamp5"
"63","mIVSCC-MET",638356222,"Pvalb-IRES-Cre;Ai14-349028.04.02.03","right","VISp5",349028,"Pvalb-IRES-Cre;Ai14-349028","M","P51",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638356193,"SM.GE63O_S031_E1.50","RSC-124","CS180626100055","Pvalb Sema3e Kank4","Pvalb"
"64","mIVSCC-MET",638356259,"Slc32a1-IRES-Cre;Ai14-347203.06.02.01","right","VISp4",347203,"Slc32a1-IRES-Cre;Ai14-347203","M","P60",NA,NA,"Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638356240,"SM.GE63O_S036_E1.50","RSC-124","CS180626100058","Pvalb Reln Itm2a","Pvalb"
"65","mIVSCC-MET",638366507,"Slc32a1-IRES-Cre;Ai14-347203.04.02.01","right","VISp5",347203,"Slc32a1-IRES-Cre;Ai14-347203","M","P60",NA,NA,"Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638366259,"SM.GE63O_S034_E1.50","RSC-124","CS180626100023","Vip Lect1 Oxtr","Vip"
"66","mIVSCC-MET",638775149,"Slc32a1-IRES-Cre;Ai14-347204.05.02.01","right","VISpm2/3",347204,"Slc32a1-IRES-Cre;Ai14-347204","F","P61",NA,NA,"Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638775123,"SM.GE63O_S037_E1.50","RSC-124","CS180626100028","Vip Crispld2 Kcne4","Vip"
"67","mIVSCC-MET",638782470,"Slc32a1-IRES-Cre;Ai14-347204.06.01.01","left","VISp5",347204,"Slc32a1-IRES-Cre;Ai14-347204","F","P61",NA,NA,"Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,638782455,"SM.GE63O_S056_E1.50","RSC-124","CS180626100058","Pvalb Reln Itm2a","Pvalb"
"68","mIVSCC-MET",639002031,"Vip-IRES-Cre;Ai14-351462.05.02.01","right","VISp4",351462,"Vip-IRES-Cre;Ai14-351462","F","P43",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,639002016,"SM.GE63O_S065_E1.50","RSC-124","CS180626100016","Vip Igfbp4 Mab21l1","Vip"
"69","mIVSCC-MET",639004612,"Vip-IRES-Cre;Ai14-351462.05.02.02","right","VISpm2/3",351462,"Vip-IRES-Cre;Ai14-351462","F","P43",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.316463718128526,NA,639004554,"SM.GE63O_S066_E1.50","RSC-124","CS180626100016","Vip Igfbp4 Mab21l1","Vip"
"70","mIVSCC-MET",639005493,"Vip-IRES-Cre;Ai14-351462.04.02.02","right","VISp2/3",351462,"Vip-IRES-Cre;Ai14-351462","F","P43",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,639005473,"SM.GE63O_S072_E1.50","RSC-124","CS180626100026","Vip Pygm C1ql1","Vip"
